,date,MAX_AVG_LOAD,maxtempC,mintempC,avgtempC,totalprecipMM,weatherDesc,humidity,cloudcover,HeatIndexC,WindChillC,FeelsLikeC,windspeedKmph,winddirdegree,week_id,Weekday,is_weekend,residential_percent_change_from_baseline,workplaces_percent_change_from_baseline,transit_stations_percent_change_from_baseline,parks_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline
0,2017-01-01,2870.0,9,3,5,0.2,Sunny,54,22,5,4,4,5,227,1.0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2017-01-02,3115.0,10,2,5,0.0,Sunny,56,1,5,3,3,10,302,1.0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017-01-03,3025.0,9,2,5,0.0,Sunny,53,1,5,4,4,5,148,1.0,Tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2017-01-04,3005.0,10,2,5,0.0,Sunny,44,2,5,5,5,4,159,1.0,Wednesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2017-01-05,2865.0,11,3,7,0.0,Overcast,43,54,7,5,5,11,140,1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2017-01-06,2710.0,14,4,8,0.0,Sunny,42,5,8,7,7,8,167,1.0,Friday,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2017-01-07,2880.0,13,6,8,0.0,Sunny,36,0,8,6,6,12,267,1.0,Saturday,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2017-01-08,3030.0,9,3,5,0.0,Sunny,52,4,5,2,2,15,265,2.0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2017-01-09,3070.0,8,2,4,0.0,Sunny,61,8,4,1,1,15,267,2.0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2017-01-10,3090.0,11,1,5,0.0,Sunny,45,11,5,4,4,10,167,2.0,Tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2017-01-11,2930.0,12,3,7,0.0,Sunny,35,26,7,5,5,9,164,2.0,Wednesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2017-01-12,2840.0,15,4,8,0.0,Sunny,35,46,8,7,7,10,222,2.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2017-01-13,2765.0,12,4,7,0.0,Sunny,60,8,7,5,5,10,270,2.0,Friday,1.0,0.0,0.0,0.0,0.0,0.0,0.0
