,index,MAX_AVG_LOAD,MAX_AVG_LOAD_SHIFT_1,MAX_AVG_LOAD_SHIFT_2,MAX_AVG_LOAD_SHIFT_3
0,3,3005.0,3025.0,3115.0,2870.0
1,4,2865.0,3005.0,3025.0,3115.0
2,5,2710.0,2865.0,3005.0,3025.0
3,6,2880.0,2710.0,2865.0,3005.0
4,7,3030.0,2880.0,2710.0,2865.0
5,8,3070.0,3030.0,2880.0,2710.0
6,9,3090.0,3070.0,3030.0,2880.0
7,10,2930.0,3090.0,3070.0,3030.0
8,11,2840.0,2930.0,3090.0,3070.0
9,12,2765.0,2840.0,2930.0,3090.0
10,13,3025.0,2765.0,2840.0,2930.0
11,14,3010.0,3025.0,2765.0,2840.0
12,15,2930.0,3010.0,3025.0,2765.0
13,16,2827.5,2930.0,3010.0,3025.0
14,17,2740.0,2827.5,2930.0,3010.0
15,18,2722.5,2740.0,2827.5,2930.0
16,19,2475.0,2722.5,2740.0,2827.5
17,20,2835.0,2475.0,2722.5,2740.0
18,21,2760.0,2835.0,2475.0,2722.5
19,22,2735.0,2760.0,2835.0,2475.0
20,23,2810.0,2735.0,2760.0,2835.0
21,24,2740.0,2810.0,2735.0,2760.0
22,25,2765.0,2740.0,2810.0,2735.0
23,26,2735.0,2765.0,2740.0,2810.0
24,27,2995.0,2735.0,2765.0,2740.0
25,28,2955.0,2995.0,2735.0,2765.0
26,29,2890.0,2955.0,2995.0,2735.0
27,30,3107.5,2890.0,2955.0,2995.0
28,31,3120.0,3107.5,2890.0,2955.0
29,32,2980.0,3120.0,3107.5,2890.0
30,33,2720.0,2980.0,3120.0,3107.5
31,34,2955.0,2720.0,2980.0,3120.0
32,35,2860.0,2955.0,2720.0,2980.0
33,36,2820.0,2860.0,2955.0,2720.0
34,37,2742.5,2820.0,2860.0,2955.0
35,38,2857.5,2742.5,2820.0,2860.0
36,39,2615.0,2857.5,2742.5,2820.0
37,40,2485.0,2615.0,2857.5,2742.5
38,41,2675.0,2485.0,2615.0,2857.5
39,42,2860.0,2675.0,2485.0,2615.0
40,43,2910.0,2860.0,2675.0,2485.0
41,44,3025.0,2910.0,2860.0,2675.0
42,45,3035.0,3025.0,2910.0,2860.0
43,46,3095.0,3035.0,3025.0,2910.0
44,47,2750.0,3095.0,3035.0,3025.0
45,48,2960.0,2750.0,3095.0,3035.0
46,49,2870.0,2960.0,2750.0,3095.0
47,50,2820.0,2870.0,2960.0,2750.0
48,51,2745.0,2820.0,2870.0,2960.0
49,52,2880.0,2745.0,2820.0,2870.0
50,53,2605.0,2880.0,2745.0,2820.0
51,54,2455.0,2605.0,2880.0,2745.0
52,55,2610.0,2455.0,2605.0,2880.0
53,56,2475.0,2610.0,2455.0,2605.0
54,57,2460.0,2475.0,2610.0,2455.0
55,58,2567.5,2460.0,2475.0,2610.0
56,59,2685.0,2567.5,2460.0,2475.0
57,60,2545.0,2685.0,2567.5,2460.0
58,61,2550.0,2545.0,2685.0,2567.5
59,62,2635.0,2550.0,2545.0,2685.0
60,63,2505.0,2635.0,2550.0,2545.0
61,64,2460.0,2505.0,2635.0,2550.0
62,65,2450.0,2460.0,2505.0,2635.0
63,66,2420.0,2450.0,2460.0,2505.0
64,67,2325.0,2420.0,2450.0,2460.0
65,68,2152.5,2325.0,2420.0,2450.0
66,69,2550.0,2152.5,2325.0,2420.0
67,70,2420.0,2550.0,2152.5,2325.0
68,71,2635.0,2420.0,2550.0,2152.5
69,72,2577.5,2635.0,2420.0,2550.0
70,73,2590.0,2577.5,2635.0,2420.0
71,74,2660.0,2590.0,2577.5,2635.0
72,75,2460.0,2660.0,2590.0,2577.5
